Location,Country,Year,Month,Weekday,Operator,Route,Type,Total_Aboard,Total_Fatalities,Ground,Total_Survivors,Total_Deaths,Total_Involved,Summary
"Near Enisseysk, USSR",Russia,1979,Aug,Friday,Aeroflot,Norisk - Krasnoyarsk,Antonov AN-12,16.0,11.0,0.0,5.0,11.0,16.0,Crashed into a wooded area after all four engines flamed out. Fuel contamination.
"Near Kirsanov, Russia",Russia,1979,Aug,Wednesday,Aeroflot,Kiev - Kazan,Tupolev TU-124,63.0,63.0,0.0,0.0,63.0,63.0,The aircraft lost control went into a spin and crashed after an uncommanded flap extension at FL270.
"Andema, Russia",Russia,1979,Sep,Monday,Aeroflot,Arkhangelsk - 	Amderma,Antonov AN-24,44.0,40.0,0.0,4.0,40.0,44.0,The plane undershot the runway and crashed.
"Off Taipei, Taiwan",Taiwan,1979,Sep,Tuesday,China Airlines (Taiwan),Training,Boeing 707-324C,6.0,6.0,0.0,0.0,6.0,6.0,Crashed into the sea after taking off.
"Near Klamath Falls, Oregon",USA,1979,Sep,Friday,Butler Aviation Inc.,Redmond - Klamath Falls - Medford,Douglas DC-7,12.0,12.0,0.0,0.0,12.0,12.0,The plane was transporting company employees when it hit Surveyor Mountain 7 minutes after taking off from Klamath Falls. The plane hit trees along the crest of a mountain ridge along the flight path. Crew error. The crew's decision to undertake a direct point-to-point high cruise speed flight at low altitude.
"Near Sarroch,  Italy",Italy,1979,Sep,Friday,Aero Transporti Italiani,Alghero - Cagliari,McDonnell Douglas DC-9-32,31.0,31.0,0.0,0.0,31.0,31.0,"The aircraft hit a mountain at an altitude of 2,000 ft. during an approach in poor weather. Crew's misjudgement in selection of a low altitude flight profile and inadequate ATC assistance."
"Blink Horn Point, Canada",Canada,1979,Sep,Tuesday,Pacific Coastal Airlines,:  Comox-Port Hardy,Britten Norman BN-7A lslander,9.0,4.0,0.0,5.0,4.0,9.0,Struck high ground in thick fog.
"Merced, California",USA,1979,Sep,Wednesday,Military - U.S. Air Force,Training,Boeing KC-135A,5.0,5.0,0.0,0.0,5.0,5.0,Crashed while attempting touch and go landings.
"Porpoise Bay, British Columbia Canada",Canada,1979,Sep,Sunday,West Coast Air,Vancouver - Sechelt,de Havilland Canada DHC-6 Twin Otter 200,16.0,2.0,0.0,14.0,2.0,16.0,"The aircraft was on finals when it suddenly turned right and descended in a right wing-down attitude, striking the ground and cartwheeling into trees."
"Athens, Greece",Greece,1979,Oct,Sunday,Swissair,Zurich - Geneva - Athens - Bombay - Beijing,McDonnell Douglas DC-8-62,156.0,14.0,0.0,142.0,14.0,156.0,The aircraft overran the runway and crashed with the left wing and tail separating before the aircraft came to a rest. The crew touched down too far down the runway at a speed higher than normal after a non-stabilized final approach. The crew did not fully apply the braking systems after a touchdown under known adverse conditions.
"Covington, Kentucky",USA,1979,Oct,Monday,Comair,"Covington, KY - Nashville, TN",Piper PA-31,8.0,8.0,0.0,0.0,8.0,8.0,The plane crashed after engine failure for undetermined reasons. Improper flap configueration. Plane overloaded. Hurried departure. Inadequate flight training.
"Lensk, Russia",Russia,1979,Oct,Saturday,Aeroflot,Lensk -	Peleduy,Antonov An-2TP,12.0,3.0,0.0,9.0,3.0,12.0,The cargo plane crashed on takeoff. Improper loading.
"Mexico City, Mexico",Mexico,1979,Oct,Wednesday,Western Airlines,Los Angeles  - Mexico City,McDonnell Douglas DC-10-10,88.0,72.0,1.0,16.0,73.0,89.0,"The aircraft struck a vehicle after landing on a closed runway in fog. The tower warned the flight three times about the closed runway. Non-compliance with the meteorological minima for the approach procedure, as cleared.  Failure to comply with the aircraft's operating procedures during the approach phase, and landing on a runway closed to traffic."
"Near Chicago, Illinois",USA,1979,Nov,Thursday,American Airlines,Chicago - Washington D.C.,Boeing B-727,78.0,0.0,0.0,78.0,0.0,78.0,"While en route from Chicago to Washington an explosive device detonated in the baggage compartment. The aircraft was flying at an altitude of approximately 34,500 feet, when the flight crew experienced a noise which they described as a thump. Smoke subsequently filled the cabin and the aircraft was forced to make an emergency landing at Washington-Dulles Airport. The bomb was planted by the Unabomber, a man who had been accused of attacks over an 18-year period. He was arrested in April 1996 and subsequently received a life sentence."
"Vologda, Russia",Russia,1979,Nov,Friday,Aeroflot,Positioning,Yakovlev YAK-40,5.0,3.0,0.0,2.0,3.0,5.0,The cargo plane descended below the decision height without having established ground contact and crashed into a wooded area.
"Granger, Utah",USA,1979,Nov,Sunday,Transamerica Airlines,"Ogden, UT - Las Vegas, NV",Lockheed L-188CF Electra,3.0,3.0,0.0,0.0,3.0,3.0,"During the descent the aircraft attained a high airspeed and high rate of descent and disintegrated in flight. A progressive failure in the aircraft's electrical system leading to the disabling or erratic performance of some critical flight instruments and flight instrument lighting while the flight was operating in night instrument meteorological condition. As a result of these conditions, the flight crew could not resolve the instrumentation anomalies to determine proper aircraft attitude reference, and became disoriented and lost control of the aircraft. The crew's efforts to regain control of the aircraft imposed aerodynamic loads which exceeded design limits of the aircraft and caused it to break up in flight."
"Near At Ta'if, Jeddah, Saudi Arabia",Saudi Arabia,1979,Nov,Monday,Pakistan International Airlines,Jeddah - Karachi,Boeing B-707-340C,156.0,156.0,0.0,0.0,156.0,156.0,After being airborne about a half an hour a cabin attendant reported a fire in the aft cabin area. Seventeen minutes later the aircraft crashed into a rocky desert while attempting an emergency landing. The blaze may have been started by a passenger possibly from a leaking kerosene stove carried aboard by a Haj pilgrim passenger.
"Near Mt. Erebus, Ross Ice Shelf, Antarctica",No Data,1979,Nov,Wednesday,Air New Zealand,Auckland - Christchurch,McDonnell Douglas DC-10-30,257.0,257.0,0.0,0.0,257.0,257.0,"The aircraft crashed into the slopes of Mt. Erebus while on sightseeing flight to Antarctica. An incorrect computer-stored flight plan resulted in a navigational error directing the flight towards Mt. Erebus. Because of overcast, the crew descended below authorized altitude. Contributing to the accident was the crew's inexperience with flying the Antarctic route. Information about the navigational errors was suppressed by officials."
"San Andres Island, Colombia",Colombia,1979,Nov,Friday,Aerolineas La Gaviola,No Data,Grumman G-21 Goose,9.0,9.0,0.0,0.0,9.0,9.0,No Data
"Cherskiy, Russia",Russia,1979,Dec,Sunday,Aeroflot,No Data,Antonov AN-26,7.0,7.0,0.0,0.0,7.0,7.0,Shifting cargo caused the pilot to lose control and crash into a hotel.
"Apolo, Bolivia",Bolivia,1979,Dec,Wednesday,CAMBA,No Data,Martin 404,11.0,10.0,0.0,1.0,10.0,11.0,No Data
"Cerro Toledo Mountain, Colombia",Colombia,1979,Dec,Tuesday,SATENA,Arauca - Bogota,Douglas DC-4 (C-54),21.0,21.0,0.0,0.0,21.0,21.0,Impacted a mountainside at an altitude of 3400 m.
"Near Puerto Esperanza, Peru",Peru,1979,Dec,Saturday,Fuerza Aérea del Peru,Pucallpa - Puerto Esperanza,de Havilland Canada DHC-5 Buffalo,29.0,29.0,0.0,0.0,29.0,29.0,Crashed into the jungle on a domestic flight 20 miles from its destination. Severe thunderstorms associated with windshear and  a hurricane is believed to have caused the crash.
"Ankara, Turkey",Turkey,1979,Dec,Sunday,Turkish Airlines (THY),Ankara - Samsun,Fokker F-28 Fellowship 1000,45.0,41.0,0.0,4.0,41.0,45.0,"Crashed into Cubuk Hill in fog, two minutes away from landing at the airport.  The crew had deviated from the localizer course while on an ILS approach in poor weather conditions.The aircraft was named ""Trabzon."""
"Menari, Papua New Guinea",Papua New Guinea,1979,Dec,Sunday,Douglas Airways,Port Morsbey - Maanari,GAF Nomad 22B,16.0,16.0,0.0,0.0,16.0,16.0,Crashed into the side of a hill after a go-around.
Haiti,No Data,1980,Jan,Wednesday,Haïti Air Inter,Port au Prince - Cape Haitien,Britten Norman BN Islander,9.0,9.0,0.0,0.0,9.0,9.0,Struck high ground in poor visibility while en route.
Over the Atlantic Ocean,No Data,1980,Jan,Friday,Private charter,Shreveport - Baton Rouge,Cessna 441 Conquest,2.0,2.0,0.0,0.0,2.0,2.0,"The plane was on a 45 minute fight from Shreveport to Baton Rouge Louisiana. The aircraft climbed past its assigned altitude and veered to the northeast. The FAA  tried to contact the aircraft without success. Fighter jets was scrambled to intercept the plane but observed no one at the controls and got no response to radio calls. The plane rose to an altitude of 41,600 feet and headed out to sea. The plane eventually ran out of fuel, descended to about 25,000 feet, went into a spin and crashed into 1,100 feet of water. No wreckage or remains were ever recovered. The official cause remains unknown although it is believed the occupants lost consciousness due to oxygen deprivation. Louisiana State University football coach Robert ""Bo"" Rein, 34, was killed."
"Shungnak, Alaska",USA,1980,Jan,Monday,Ambler Air Service,"Ambler, AK - Kobuk, AK",Cessna 185A,9.0,7.0,0.0,2.0,7.0,9.0,Crashed. Continued VFR flight into adverse weather conditions.
"Elburz Mtns., near Tehran, Iran",Iran,1980,Jan,Monday,Iran Air,Babol Sar - Tehran,Boeing B-727-86,128.0,128.0,0.0,0.0,128.0,128.0,"The aircraft crashed into a mountain during a landing attempt in fog and snow. Inoperative ground radar, inoperative ILS. The aircraft was named ""Shiraz."""
"Mt. Cemonyet,  Indonesia",Indonesia,1980,Jan,Wednesday,Pelita Air Service,Bandung - Jakarta,CASA 212 Aviocar 100,13.0,13.0,0.0,0.0,13.0,13.0,"Hit high ground at 2,700 ft. in poor weather while on approach."
"Near Mandalay, Burma",Burma,1980,Jan,Thursday,Military - Union of Burma Air Force,Mandalay - Rangoon,Fairchild FH-227H,44.0,43.0,0.0,1.0,43.0,44.0,Crashed into a building while attempting an emergency landing following the loss of one engine.
"Baracoa, Cuba",Cuba,1980,Feb,Sunday,Cubana de Aviacon,Moa - Baracoa,Yakovlev YAK-40,37.0,1.0,0.0,36.0,1.0,37.0,Crashed while attemping to land.
"Leeville, Louisiana",USA,1980,Feb,Thursday,Rotor Airs Inc - Air Taxi,"Leeville, LA - Grand Isle, LA",Sikorsky S-62A,7.0,6.0,0.0,1.0,6.0,7.0,"The helicopter experienced uncontrollable overspeeding, became airborne, lost power and crashed."
"Sydney, NSW, Australia",No Data,1980,Feb,Thursday,Advance Airlines,Sydney - Tomora,Beechcraft Super King Air 200,13.0,13.0,0.0,0.0,13.0,13.0,Crashed into a sea wall just 2 feet short of the runway while attemping an emergency landing.
"Near Agra, India",India,1980,Feb,Friday,Military - Indian Air Force,No Data,Fairchild C-119G,47.0,46.0,1.0,1.0,47.0,48.0,A bicyclist riding on the runway led the pilot to initiate a premature liftoff resulting in a stall. The plane was carrying paratroopers.
"Manila, Philippines",Philippines,1980,Feb,Wednesday,China Airlines (Taiwan),Taipei - Manila,Boeing B-707-309C,135.0,2.0,0.0,133.0,2.0,135.0,The aircraft undershot the runway and bounced twice. The two outboard engines broke loose and the wingtips were ripped off. A fire broke out and spread rapidly. Pilot error.
"Near Warsaw, Poland",Poland,1980,Mar,Friday,LOT Polish Airlines,New York City - Warsaw,Ilyushin IL-62,87.0,87.0,0.0,0.0,87.0,87.0,"While attempting to land at Warsaw, the crew initiated an overshoot procedure after there were indications that the landing gear was not down. When thrust was applied, the No. 2 engine disintegrated, damaging two other engines and severing the rudder and elevator control lines. The plane crashed one-half mile from the runway threshold. Metal fatigue in the No. 2 engine turbine disc. The dead included 22 members of the U.S. boxing team and Polish singer Anna Jantar. The aircraft was named Mikolaj Kopernik."
"Near Yenice, Turkey",Turkey,1980,Mar,Friday,Military - U.S. Air Force,Training,Lockheed C-130H,18.0,18.0,0.0,0.0,18.0,18.0,Crashed into hilly terrain after the left wing exploded. Cause unknown. The plane was returning to Incirlik Air Base.
"Houston, Texas",USA,1980,Mar,Friday,Eagle Commuter,Houston - Brownwood,Piper PA-28-180,10.0,7.0,0.0,3.0,7.0,10.0,"The right engine failed while taking off. The plane plunged to the ground, struck a helicopter, a small plane, four parked cars, and slammed into a hanger and burst into flames. The engine failed for undetermined reasons.  Improper emergency procedures. The pilot did not properly configure aircraft and  land immediately."
"Off Macae, Brazil",Brazil,1980,Mar,Friday,VOTEC,No Data,Sikorsky S-76,14.0,14.0,0.0,0.0,14.0,14.0,Crashed into the sea. Fatigue fracture of the main rotor.
"Florianopolis, Brazil",Brazil,1980,Apr,Saturday,Transbrasil,Sao Paulo - Florianopolis,Boeing B-727-27C,58.0,55.0,0.0,3.0,55.0,58.0,The plane crashed into a hill while landing during a thunderstorm. The pilot misjudged his speed and distance and failed to initiate a go-around. Improper flight supervision and control of the engines.
"Krasnoyarsk, Russia",Russia,1980,Apr,Monday,Aeroflot,Krasnoyarsk - Yeniseisk,Antonov An-24B,53.0,2.0,0.0,51.0,2.0,53.0,The plane crashed when attempting an emergency landing after the starboard main gear broke on take-off.
"Posht-i-Badam, Iran",Iran,1980,Apr,Thursday,Military - U.S. Air Force,No Data,Lockheed EC-130E Hercules,7.0,5.0,0.0,2.0,5.0,7.0,Hit by  a U.S. Marine Corps RH-53D Sea Stallion helicopter during a hostage rescue operation while on the ground.
"Tenerife, Canary Islands",Canary Islands,1980,Apr,Friday,Dan Air Services,Manchester - Tenerife,Boeing B-727-64,146.0,146.0,0.0,0.0,146.0,146.0,"The plane crashed into a mountain 5,500 ft. high at 300 mph during an approach to Tenerife. The pilot, while in a holding pattern, took the aircraft in an area of high ground not maintaining the correct altitude. Lack of communication between the pilot and co-pilot."
"Don Muang, Thailand",Thailand,1980,Apr,Sunday,Thai Airways,Khon Kaen - Bangkok,Hawker Siddeley HS-748-2,53.0,44.0,0.0,9.0,44.0,53.0,"The aircraft entered a thunderstorm, was caught in a downdraft and struck the ground 8 nm northeast of Bangkok International Airport. The pilot directed the aircraft into a thunderstorm in an early dissipating stage.  The aircraft was severely affected by a downdraft and lost altitude rapidly. At that time, the altitude of the aircraft was 1,500 ft. and the pilot could not maintain altitude. Procedural error by the pilot. Was not tuned to weather warning, did not use his weather radar and flew into an area of severe weather."
"Near Yachiba, Bolivia",Bolivia,1980,Jun,Monday,Lloyd Aereo Boliviano,Cochabamba-Yacuiba,Fairchild F-27J,13.0,13.0,0.0,0.0,13.0,13.0,Crashed in the Tapecua mountains.
"Near Matala, Angola",Angola,1980,Jun,Sunday,Lineas Aereas de Angola,Jamba-Lubango,Yakovlev YAK-40,29.0,29.0,0.0,0.0,29.0,29.0,Accidentally shot down by anti-aircraft fire.
"Near Dushanbe, Russia",Russia,1980,Jun,Thursday,Aeroflot,Leningrad - Dushanbe,Yakovlev YAK-40,29.0,29.0,0.0,0.0,29.0,29.0,Deviated from their course to avoid a thunderstorm and crashed into a cloud covered mountain.
"Valley, Nebraska",USA,1980,Jun,Thursday,Air Wisconsin,"Appleton, WI - Minneapolis, MN, - Lincoln, NE",Swearingen 226TC Metro II,15.0,13.0,0.0,2.0,13.0,15.0,After penetrating a thunderstorm massive amounts of water cause both engine to lose power. Although the engines were restarted the crew could not recover and crashed into a field. Engine failure due to massive ingestion of water into both engines. Crew error. Unwise decision to enter an area of thunderstorms. Critical weather not disseminated.
"Tyrrhenian Sea,  off Ustica, Italy",Italy,1980,Jun,Friday,Itavia,Bologna - Palermo,McDonnell Douglas DC-9-15,81.0,81.0,0.0,0.0,81.0,81.0,"Two Libyan MiG aircraft concealed themselves from radar detection by flying closely to the DC-9. When this was discovered, an attempt was made by either French or US aircraft to intercept the MiGs. It was believed that a shot fired at the MiGs accidentally struck Itavia Flight 870. The aircraft exploded and crashed off the island of Ustica. A report released in 1994 stated new evidence pointed to an explosive device aboard the aircraft causing the crash."
"Near Alma-Ata, Kazakhstan, USSR",Kazakhstan,1980,Jul,Tuesday,Aeroflot,Alma Ata - Simferopol,Tupolev TU-154B,166.0,166.0,0.0,0.0,166.0,166.0,"The aircraft crashed and burned in a field, two minutes after takeoff reaching a height of only 500 ft. Windshear."
"Cerro Lilio, Mexico",Mexico,1980,Aug,Friday,Aeronaves del Peru,"Lima, Peu - Mexico City, Mexico",Douglas DC-8-43F,7.0,3.0,0.0,4.0,3.0,7.0,The cargo plane crashed into a mountain in poor visibility.
"Houma, Louisiana",USA,1980,Aug,Wednesday,Air Logistics,Oil Platform SS-224 - Houma LA,Bell 205A-1 helicopter,13.0,13.0,0.0,0.0,13.0,13.0,"Crashed after continued VFR flight into adverse weather conditions. No windshield wipers, unreliable attitude indicator and inoperative turn needle."
"Nouadhibou, Mauretania",Mauritania,1980,Aug,Thursday,Tarom,Bucurest  - Nouadhibou,Tupolev TU-154B-1,168.0,1.0,0.0,167.0,1.0,168.0,"The aircraft touched down in water 1,000 ft. short of the runway."
"Riyadh, Saudi Arabia",Saudi Arabia,1980,Aug,Tuesday,Saudi Arabian Airlines,Riyadh - Jeddah,Lockheed 1011-200 TriStar,301.0,301.0,0.0,0.0,301.0,301.0,"The flight experienced a fire in the aft cargo compartment  6 minutes after taking off from Rilyadh. The plane returned to the airport and landed but because of a delay in evacuating the plane, all aboard were killed by smoke and fire. Half a minute before landing the captain decided not to order an emergency evacuation.  When he landed, he did not stop immediately but instead proceeded to make a normal landing delaying the fire equipment from putting out the fire. It took a full twenty-three minutes after touchdown before the doors were opened. The failure of the captain to prepare the cabin crew for immediate evacuation upon landing and his failure in not making a maximum stop landing on the runway, with immediate evacuation."
"Near Jakarta, Indonesia",Indonesia,1980,Aug,Tuesday,Bouraq Indonesia Airlines,Banjarmasin-Sjamsudin Noor  -  Jakarta,Vickers Viscount 812,37.0,37.0,0.0,0.0,37.0,37.0,"A section of the tail separated in flight and the aircraft crashed into a swamp. Broken spigot fitting, which is part of  the elevator torque tube assembly. The part was not repaced as required."
"Near Montelimar, France",France,1980,Sep,Friday,Military - Kuwait Air Force,No Data,Lockheed L-100-20 Hercules,8.0,8.0,0.0,0.0,8.0,8.0,Crashed after being struck by lightning
"Puerto Olaya, Colombia",Colombia,1980,Sep,Wednesday,Aeronorte Colombia,Barranquilla - Bogota,Douglas C-47,3.0,3.0,0.0,0.0,3.0,3.0,While en route a wing separated from the cargo plane which led to loss of control.  The wing attachment bolts failed in turbulence.
"Off Freeport, Bahamas",Bahamas,1980,Sep,Friday,Florida Commuter Airlines,West Palm Beach - Freeport Grand Bahama Islands,Douglas DC-3,34.0,34.0,0.0,0.0,34.0,34.0,"The aircraft crashed into the Atlantic Ocean about 3.5 nm SW of West End Settlement in low ceiling and thunderstorm activity. The cause was unable to be determined. Contributing factors include flight into thunderstorm activity, a malfunctioning pitot tube and improper supervision by airline management."
"Kindu, Zaire",Zaire,1980,Sep,Sunday,Military - Force Aérienne Zaïroise,Kindu-Kinshasa,Lockheed Hercules C-130,36.0,36.0,0.0,0.0,36.0,36.0,Crashed on takeoff after losing one engine.
"Near Medina, Saudi Arabia",Saudi Arabia,1980,Sep,Monday,Military - Royal Saudi Air Force,No Data,Lockheed C-130E,89.0,89.0,0.0,0.0,89.0,89.0,Crashed into the desert after taking off. Report of an in-flight fire.
"Near Kindu, Zaire",Zaire,1980,Sep,Wednesday,Military - Zairean Air Force,No Data,de Havilland DHC-5 Buffalo,36.0,36.0,0.0,0.0,36.0,36.0,Crashed shortly after taking off.
"Badakshan, Afghanistan",Afghanistan,1980,Sep,Tuesday,Military - Soviet Air Force,No Data,Antonov AN-12V,45.0,45.0,0.0,0.0,45.0,45.0,Shot down by Afghan guerrilla forces as it prepared to land.
"Near Cairo, Egypt",Egypt,1980,Nov,Wednesday,Military - U.S. Air Force,Ramstein AB - Cairo,Lockheed C-141A,13.0,13.0,0.0,0.0,13.0,13.0,Descended at an excessive sink rate at a banked angle until it crashed to the ground as it prepared to land at Cairo Airport.
"Seoul, South Korea",South Korea,1980,Nov,Wednesday,Korean Airlines,Los Angeles-Anchorage-Séoul,Boeing B-747-2B5B,226.0,15.0,0.0,211.0,15.0,226.0,Undershot runway and crashed while landing in fog. Crew error.
"Near Medellin, Colombia",Colombia,1980,Nov,Monday,F.R. de la Direccion General de Ados,Bogota-Medellin,Douglas C-47A-35-DL,20.0,20.0,0.0,0.0,20.0,20.0,"The aircraft crashed into a mountain at 9,500 ft. while descending to land. Continued VFR flight in deteriorating weather at low altitude in a mountainous area."
"Pecos City, Texas",USA,1980,Nov,Friday,Central Air Services,No Data,Douglas DC-7B,2.0,2.0,0.0,0.0,2.0,2.0,The cargo plane entered a steep bank shortly after takeoff and crashed. Complete engine failure/flameout No.1 engine. Powerplant failure for undetermined reasons. Pilot-in-command  failed to obtain/maintain flying speed. Improper emergency procedures
"Dar es Salaam, Tanzania",Tanzania,1980,Dec,Friday,Tanzania Aviation,Dodoma - Dar es Salaam,Piper PA-42 Cheyenne,10.0,10.0,0.0,0.0,10.0,10.0,The aircraft broke-up in flight in bad weather.
"Near Rio Hacha, Colombia",Colombia,1980,Dec,Sunday,Transportes Aereos del Caribe,Rio Hacha - Medellin,Aerospatiale Caravelle 6R,70.0,70.0,0.0,0.0,70.0,70.0,A fire and explosion took place 5 minutes after taking off. The explosion was possibly caused by a bomb placed in the rear section of the aircraft.
"Qatar, Qatar",No Data,1980,Dec,Tuesday,Saudi Arabian Airlines,Dhahran - Karachi,Lockheed L-1011-200,291.0,2.0,0.0,289.0,2.0,291.0,Two passengers were sucked out of the plane after a tire exploded in the wheel well causing damage to the fuselage.
"Ramstein AFB, West Germany",Germany,1981,Jan,Wednesday,Military - U.S. Air Force,"Ramstein AFB - Oslo, Norway",Lockheed C-130E Hercules,11.0,11.0,0.0,0.0,11.0,11.0,"Stalled, crashed shortly after taking off."
"Spokane, Washington",USA,1981,Jan,Tuesday,Cascade Airways,Moses Lake - Spokane,Beechcraft 99A,9.0,7.0,0.0,2.0,7.0,9.0,"During an instrument approach, the aircraft descended below 3,500 ft. and impacted rising terrain became airborne, went over a hilltop and came to rest 1,380 ft. further on. A fire started in the area of the right engine and spread throughout the fuselage. A premature descent to minimum descent altitude based on the flightcrew's use of an incorrect distance measuring equipment frequency and the flightcrew's subsequent failure to remain at or above MDA."
"Near Leningrad, Russia",Russia,1981,Feb,Saturday,Military - Soviet Navy,Leningrad-Vladivostok,Tupolev TU-104A,52.0,52.0,0.0,0.0,52.0,52.0,Crashed shortly after taking off approximately 10 miles north of Leningrad.
"White Plains, New York",USA,1981,Feb,Wednesday,Private - Corporate,"White Plains, NY - Toronto, Canada - White Plains, NY",Lockheed 1339,8.0,8.0,0.0,0.0,8.0,8.0,"Crashed in rain, fog, windshear.  Pilot distracted as a result of a major electrical system failure. Undetected deviation from flightpath."
"Avalon, California",USA,1981,Feb,Sunday,Helicopter - Air Taxi,"San Pedro, CA - Avalon, CA",Sikorsky S-62A,8.0,2.0,0.0,6.0,2.0,8.0,The main rotor disk failed from a fatigue fracture while attempting to land.
"Belem, Brazil",Brazil,1981,Feb,Tuesday,VOTEC,Tucurui - Belem,Embraer 110P Bandeirante,14.0,11.0,0.0,3.0,11.0,14.0,Crashed into a tug boat and barges while on approach in heavy rain and wind and broke in two.
Off Tabones Island  Philippines,No Data,1981,Feb,Thursday,Military - U.S. Air Force,Training,Lockheed MC-130E-Y,24.0,23.0,0.0,1.0,23.0,24.0,"The military transport crashed into Subic Bay, 15 miles west-northwest of Cubi Point Naval Air Station where it had taken off an hour earlier and where it was on approach to land. Witnesses saw the aircraft flying at a low altitude just before crashing into the sea and exploding in flames."
"Moroni, Comoro Islands",No Data,1981,Mar,Tuesday,Military - French Naval Aviation,Moroni-Saint-Denis de la Réunion,Dassault-Breguet Atlantique,18.0,18.0,0.0,0.0,18.0,18.0,"As the plane was taking off, one of the engines failed and after climbing to 500 ft., the aircraft plunged to earth and exploded in flames."
"Shemya AFB, Alaska",USA,1981,Mar,Sunday,Military - U.S. Air Force,Eielson AFB-Shemya AFB,Boeing RC-135S,24.0,6.0,0.0,18.0,6.0,24.0,Hit the ground short of the runway in snow and fog.
"Redzikowo, Poland",Poland,1981,Mar,Thursday,LOT Polish Airlines,Varsovie-Slupsk,Antonov AN-24B,52.0,1.0,0.0,51.0,1.0,52.0,Separation of a propeller blade caused a forced landing resulting the the plane crashing and burining.
"Laguna Soliz, Bolivia",Bolivia,1981,Apr,Monday,Urcupina,No Data,Douglas C-47A,7.0,7.0,0.0,0.0,7.0,7.0,The cargo plane flew into the ground while trying to avoid bad weather.
"Cincinnati, Ohio",USA,1981,Apr,Tuesday,Freedom International,Cincinnati - Detroit,Learjet 23,2.0,1.0,0.0,1.0,1.0,2.0,"While climbing through 3,800 ft., a Loon collided with the cargo plane penetrating the windshield. The copilot was killed and the captain sustained serious injuries. Debris from the windshield were ingested by the No.2 engine which had to be shut down. The pilot returned to the airport for a successful emergency landing."
"Loveland, Colorado",USA,1981,Apr,Friday,Air US / Private,"Denver, CO - Gillette, WY",Hadley Page 137Jetstream I / Cessna 206,19.0,15.0,0.0,4.0,15.0,19.0,"A midair collision occurred 2 nm east-southeast of Loveland, Colorado at 13,000 ft.. Two killed and 3 injured on the Cessna and 13 killed on the Jetstream. The failure of the Cessna pilot to establish communications with the Denver Center and his climbing into controlled airspace above 12,500 ft without an authorized transponder. Contributing factor was the fact that existing regulations did not prohibit parachute jumping in or immediately adjacent to federal airways."
"Pekanbaru, Indonesia",Indonesia,1981,Apr,Tuesday,Private - Airfast Indonesia,Singapour-Pekanbaru,Douglas C-47A-5-DK,17.0,15.0,0.0,2.0,15.0,17.0,Crashed during final approach. Hudbay Oil Co. charter.
"Batagay, Russia",Russia,1981,Apr,Tuesday,Aeroflot,Batagay - 	Lazo,Antonov An-2TP,12.0,12.0,0.0,0.0,12.0,12.0,Crashed into a mountainside. Icing.
"Near Fredrick, Maryland",USA,1981,May,Wednesday,Military - U.S. Air Force,Training,Boeing EC-135N,21.0,21.0,0.0,0.0,21.0,21.0,"While cruising at FL 210, the pitch trim moved to the full nose-down position. Gravational forces from the resulting dive led to the break-up of the aircraft."
"Rio de la Plata, Argentina",Argentina,1981,May,Thursday,Austral Lineas Aeras (Argentina),Tucuman - Buenos Aires,BAC One-Eleven 529FR,31.0,31.0,0.0,0.0,31.0,31.0,The aircraft crashed into a river bed after two missed approaches and while in a holding pattern. Severe turbulence and thunderstorms where occurring in area. Loss of control of the aircraft and impact with the water by an error of the pilot in assessing the meteorological conditions on crossing through a zone of extremely violent cumulonimbus clouds. Windshear.
"Near Menongue, Angola",Angola,1981,May,Saturday,TAAG Angola Airlines,No Data,Lockheed L-100-20 Hercules,4.0,4.0,0.0,0.0,4.0,4.0,Shot down by a surface-to-air missile.
"Pinarete Mountain, Mexico",Mexico,1981,May,Thursday,Lineas Aereas,Puerto Escondido-Oaxaca,Convair CV-440-11,24.0,24.0,0.0,0.0,24.0,24.0,"Crashed into a mountain at 8,800 feet obscured by clouds."
"Near Zumba, Ecuador",Ecuador,1981,May,Friday,TAME,Quito-Macara,de Havilland Canada DHC-6 Twin Otter 300,18.0,18.0,0.0,0.0,18.0,18.0,Crashed into a mountain in fog.
"Cairo, Egypt",Egypt,1981,May,Friday,Military - Egyptian Air Force,No Data,Lockheed C-130H Hercules,17.0,17.0,0.0,0.0,17.0,17.0,The aircraft hit the ground shortly after takeoff.
"Ust-Barguzin, Russia",Russia,1981,Jun,Sunday,Aeroflot,Ulan - Severomuysk,Ilyushin Il-14,48.0,48.0,0.0,0.0,48.0,48.0,The crew informed ATC they could see the field but crashed 30 km from the airport.
"Nailstone, England",England,1981,Jun,Friday,Dan Air Services,London - East Midlands,Hawker Siddeley HS-748,3.0,3.0,0.0,0.0,3.0,3.0,"The the right rear door  of the cargo plane detached and struck the horizontal tail plane and became lodged on the leading edge. Control was lost, and the aircraft entered a steep dive. During the dive, the wings and tail plane failed due to overstressing."
"Near Yerevan, Armenia",Armenia,1981,Jul,Saturday,TAR,"Tehran, Iran - Larnaca, Cyprus",Canadair CL-44D4-6,4.0,4.0,0.0,0.0,4.0,4.0,The cargo plane was brought down after a Soviet fighter jet crashed into the tail of the Canadair. The plane had strayed into Soviet airspace.
